Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
11-03-2016,HDFC,EQ,1153.15,1159,1167,1146.5,1161.9,1160.5,1155.96,2950536,3.4107E+14,98690,2209057,0.7487
14-03-2016,HDFC,EQ,1160.5,1168,1175,1146.75,1160,1158.7,1160.67,1239365,1.43849E+14,57993,780121,0.6295
15-03-2016,HDFC,EQ,1158.7,1144,1148.7,1109.4,1113.15,1111.35,1121.48,3897662,4.37113E+14,125955,2726228,0.6995
16-03-2016,HDFC,EQ,1111.35,1101.1,1128.7,1095.5,1128,1125.95,1108.29,3068113,3.40037E+14,103900,1924949,0.6274
17-03-2016,HDFC,EQ,1125.95,1135.55,1152,1104,1107.05,1108.05,1122.4,4138764,4.64533E+14,124761,2642529,0.6385
18-03-2016,HDFC,EQ,1108.05,1111.4,1133,1104,1130.25,1129.3,1119.04,4859516,5.43797E+14,125203,3604408,0.7417
21-03-2016,HDFC,EQ,1129.3,1130,1155.85,1128.05,1150.5,1151.25,1142.35,3940026,4.5009E+14,108048,2849765,0.7233
22-03-2016,HDFC,EQ,1151.25,1142.05,1174,1136,1167.95,1168.1,1150.04,3440836,3.95711E+14,107205,2732288,0.7941
23-03-2016,HDFC,EQ,1168.1,1162.1,1167.7,1143.65,1160,1162.75,1154.31,2117350,2.44407E+14,74414,1403520,0.6629
28-03-2016,HDFC,EQ,1162.75,1154.5,1170.25,1137.3,1143.2,1143.35,1146.39,3943656,4.52098E+14,88017,3133202,0.7945
29-03-2016,HDFC,EQ,1143.35,1135.25,1142,1120.65,1123.95,1125.75,1130.7,3752026,4.24241E+14,84976,2826935,0.7534
30-03-2016,HDFC,EQ,1125.75,1128.25,1131.35,1110.15,1115.5,1115.3,1115.42,4842266,5.40115E+14,148632,4083699,0.8433
31-03-2016,HDFC,EQ,1115.3,1111,1118.95,1098,1107,1105.6,1105.92,9556036,1.05682E+15,175689,7111787,0.7442
01-04-2016,HDFC,EQ,1105.6,1100,1117.8,1092.25,1115.2,1113.4,1103.01,3894156,4.29529E+14,136099,2885731,0.741
04-04-2016,HDFC,EQ,1113.4,1122.5,1124.25,1095.6,1099.5,1103.7,1105,3275522,3.61946E+14,88687,2344658,0.7158
05-04-2016,HDFC,EQ,1103.7,1102,1111,1085.5,1098.15,1103.45,1102.58,4368286,4.81639E+14,94052,3310963,0.758
06-04-2016,HDFC,EQ,1103.45,1112.35,1112.35,1091.2,1103.1,1102.05,1099.57,2913779,3.20391E+14,93310,2042409,0.7009
07-04-2016,HDFC,EQ,1102.05,1100,1100,1065.5,1073,1070.85,1074.12,4883634,5.24562E+14,169971,3123726,0.6396
08-04-2016,HDFC,EQ,1070.85,1071.8,1082.85,1068.15,1077.05,1079.55,1076.07,1944688,2.09263E+14,70961,1314416,0.6759
11-04-2016,HDFC,EQ,1079.55,1083.95,1084.7,1060.15,1079.75,1079.8,1073.64,3737043,4.01225E+14,88223,2639205,0.7062
12-04-2016,HDFC,EQ,1079.8,1085,1091.95,1076.05,1088.6,1090.5,1086.39,1864121,2.02517E+14,56077,1275280,0.6841
13-04-2016,HDFC,EQ,1090.5,1098.1,1117.45,1093.65,1115,1114.95,1110.48,3361554,3.73292E+14,98823,2457229,0.731
18-04-2016,HDFC,EQ,1114.95,1130,1139.4,1093.45,1135,1132.4,1121.23,3916572,4.39137E+14,120284,3027702,0.773
20-04-2016,HDFC,EQ,1132.4,1148.7,1158.65,1135,1143,1140,1144.25,4669646,5.34323E+14,158599,3676278,0.7873
21-04-2016,HDFC,EQ,1140,1145,1157.45,1140.2,1149.1,1150.1,1151.5,6522775,7.51099E+14,152047,5853525,0.8974
22-04-2016,HDFC,EQ,1150.1,1141,1152.05,1121.95,1130,1131.9,1132.76,2628319,2.97725E+14,135116,1885317,0.7173
25-04-2016,HDFC,EQ,1131.9,1120,1127.5,1106.3,1114,1112,1114.5,1859499,2.07241E+14,71243,1356469,0.7295
26-04-2016,HDFC,EQ,1112,1104,1131.85,1103.05,1129.5,1127.3,1117.93,2511483,2.80766E+14,71574,1896765,0.7552
27-04-2016,HDFC,EQ,1127.3,1122.4,1128.5,1113.1,1121.5,1121.5,1119.57,1866265,2.08942E+14,47979,1444082,0.7738
28-04-2016,HDFC,EQ,1121.5,1121,1126.4,1082.05,1086.55,1085.55,1096.19,5791623,6.3487E+14,113552,4089545,0.7061
29-04-2016,HDFC,EQ,1085.55,1084.8,1102.25,1074.2,1090,1088.45,1086.92,4202421,4.56771E+14,129121,3013293,0.717
02-05-2016,HDFC,EQ,1088.45,1091.45,1097,1078.55,1093.1,1091.9,1088.78,2394549,2.60713E+14,85186,867473,0.3623
03-05-2016,HDFC,EQ,1091.9,1097,1116.55,1095.05,1101.9,1099.6,1104.74,3372825,3.7261E+14,98895,2101186,0.623
04-05-2016,HDFC,EQ,1099.6,1099,1138,1098,1130.5,1129.9,1127.84,4419894,4.98495E+14,131063,3145228,0.7116
05-05-2016,HDFC,EQ,1129.9,1137,1176.2,1135,1163.2,1162.65,1161.85,4663686,5.4185E+14,130606,3183640,0.6826
