s_no,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
89,2004-08-25,TCS,1198.7,1198.7,979.0,987.95,850.0,17116372,17258760957.45,1008.32,,16.229411764705887,,
90,2004-08-26,TCS,992.0,997.0,975.3,979.0,987.95,5055400,4982864767.3,985.65,,-0.9059162913102936,,
91,2004-08-27,TCS,982.4,982.4,958.55,962.65,979.0,3830750,3715586030.8,969.94,,-1.670071501532178,,
60,2004-08-30,TCS,969.9,990.0,965.0,986.75,962.65,3058151,3005106339.9,982.65,,2.503505947125126,,
61,2004-08-31,TCS,986.5,990.0,976.0,988.1,986.75,2649332,2602132650.65,982.18,,0.13681276919179353,,
62,2004-09-01,TCS,990.0,995.0,983.6,987.9,988.1,2491943,2466235576.95,989.68,,-0.02024086630908263,,
63,2004-09-02,TCS,989.9,1004.6,986.0,993.65,987.9,2669544,2661426196.4,996.96,,0.5820427168741775,,
64,2004-09-03,TCS,1006.0,1100.0,990.35,997.85,993.65,1233732,1229916939.9,996.91,,0.42268404367735574,,
65,2004-09-06,TCS,1039.9,1039.9,992.9,994.85,997.85,1129834,1128553951.75,998.87,,-0.30064638973793656,,
66,2004-09-07,TCS,1035.0,1035.0,995.0,995.6,994.85,721529,719610913.6,997.34,,0.07538824948484696,,
67,2004-09-08,TCS,996.0,1000.8,991.1,993.7,995.6,824248,820361682.5,995.29,,-0.19083969465648626,,
68,2004-09-09,TCS,997.0,997.9,978.45,979.95,993.7,993398,978657426.05,985.16,,-1.3837174197443896,,
69,2004-09-10,TCS,990.0,990.0,976.0,988.8,979.95,801884,789950664.25,985.12,,0.9031073013929188,,
70,2004-09-13,TCS,991.0,1015.5,991.0,1003.5,988.8,2613114,2632220570.75,1007.31,,1.4866504854368978,,
71,2004-09-14,TCS,1005.0,1018.8,1002.95,1015.65,1003.5,1916934,1941763417.65,1012.95,,1.2107623318385627,,
72,2004-09-15,TCS,1018.0,1020.0,1001.2,1006.1,1015.65,1498536,1512208351.85,1009.12,,-0.9402845468419194,,
73,2004-09-16,TCS,1007.0,1015.0,1002.5,1008.45,1006.1,919778,928806251.55,1009.82,,0.23357519133287175,,
74,2004-09-17,TCS,1012.0,1029.9,1010.3,1024.5,1008.45,1828487,1867047286.0,1021.09,,1.5915513907481735,,
75,2004-09-20,TCS,1032.4,1036.9,1020.15,1022.9,1024.5,1069028,1099843534.0,1028.83,,-0.1561737432894117,,
76,2004-09-21,TCS,1024.85,1048.5,1022.0,1045.8,1022.9,1737135,1805822479.35,1039.54,,2.238733013979859,998.1825000000001,
77,2004-09-22,TCS,1048.4,1056.0,1037.1,1052.05,1045.8,1921448,2012857077.25,1047.57,,0.5976286096768025,1001.3875,
78,2004-09-23,TCS,1048.0,1049.0,1027.0,1030.25,1052.05,1977460,2052199849.25,1037.8,,-2.072144860035165,1003.95,
79,2004-09-24,TCS,1029.1,1040.0,1026.0,1028.8,1030.25,1010401,1044692914.85,1033.94,,-0.14074253821888333,1007.2575,
80,2004-09-27,TCS,1027.5,1032.5,1015.0,1020.75,1028.8,1028689,1051767928.75,1022.44,,-0.7824650077760453,1008.9575000000001,
81,2004-09-28,TCS,1016.0,1027.4,1012.5,1015.55,1020.75,792427,808924865.05,1020.82,,-0.5094293411707123,1010.3299999999999,
82,2004-09-29,TCS,1019.25,1033.0,1016.15,1031.0,1015.55,1467147,1503253816.95,1024.61,,1.521343114568465,1012.485,
83,2004-09-30,TCS,1035.6,1040.9,1020.65,1027.1,1031.0,1565179,1616397417.75,1032.72,,-0.3782735208535491,1014.1575,
84,2004-10-01,TCS,1029.0,1056.45,1026.35,1047.7,1027.1,1371111,1430861573.8,1043.58,,2.005646967189187,1016.65,
85,2004-10-04,TCS,1057.0,1081.0,1054.45,1076.5,1047.7,1891228,2027186073.7,1071.89,,2.7488784957525962,1020.7324999999998,
86,2004-10-05,TCS,1080.3,1089.0,1075.5,1080.7,1076.5,1792661,1942248091.45,1083.44,,0.3901532745007009,1024.9875,
87,2004-10-06,TCS,1081.0,1102.8,1075.05,1081.6,1080.7,2208833,2407813364.9,1090.08,,0.08327935597296784,1029.3825000000002,
88,2004-10-07,TCS,1083.0,1100.0,1083.0,1097.1,1081.6,1260016,1377437281.85,1093.19,,1.433062130177515,1035.24,
33,2004-10-07,TCS,1083.0,1100.0,1083.0,1097.1,1081.6,1260016,1377437281.85,1093.19,,1.433062130177515,1040.655,
34,2004-10-08,TCS,1098.0,1111.0,1095.0,1098.05,1097.1,1069865,1180319204.55,1103.24,,0.08659192416370846,1045.3825000000002,
35,2004-10-09,TCS,1099.9,1103.85,1094.25,1100.65,1098.05,258539,284338312.6,1099.79,,0.23678338873458737,1049.6325,
36,2004-10-11,TCS,1100.0,1111.5,1085.0,1089.3,1100.65,1166507,1282016129.55,1099.02,,-1.0312088311452445,1053.7925,
37,2004-10-12,TCS,1110.0,1115.0,1077.65,1084.45,1089.3,1950064,2132121371.9,1093.36,,-0.4452400624254025,1057.5925,
38,2004-10-14,TCS,1103.0,1124.0,1088.05,1116.2,1084.45,2403248,2662234309.65,1107.77,,2.9277513947162155,1062.1775,
39,2004-10-15,TCS,1121.7,1141.0,1117.25,1126.0,1116.2,2224968,2512693150.3,1129.32,,0.8779788568356884,1067.3325,
40,2004-10-18,TCS,1134.0,1142.0,1125.25,1137.25,1126.0,1711668,1943642755.15,1135.53,,0.9991119005328597,1071.905,
41,2004-10-19,TCS,1140.15,1148.7,1136.1,1143.2,1137.25,1470891,1680074601.4,1142.22,,0.5231919103099623,1076.4625,
42,2004-10-20,TCS,1144.8,1149.9,1129.0,1133.25,1143.2,900854,1028401836.85,1141.59,,-0.8703638908327541,1081.6125,
43,2004-10-21,TCS,1137.25,1139.0,1122.0,1125.55,1133.25,801690,905652951.15,1129.68,,-0.6794617251268515,1086.45,
44,2004-10-25,TCS,1125.0,1127.0,1110.75,1117.35,1125.55,1173784,1311429090.9,1117.27,,-0.7285327173381942,1091.28,
45,2004-10-26,TCS,1115.6,1140.95,1115.6,1137.2,1117.35,866595,979286028.1,1130.04,,1.77652481317404,1097.3625,
46,2004-10-27,TCS,1142.25,1148.0,1135.2,1139.9,1137.2,979707,1119246665.15,1142.43,,0.23742525501231493,1102.8075000000001,
47,2004-10-28,TCS,1145.0,1174.8,1145.0,1165.95,1139.9,2323927,2707316483.65,1164.97,,2.2852881831739587,1109.75,
